,Average price of S&P 1-Jan,,,,,,,,,,
S&P 500 List,Start Date,price,,,,,,,,,
748957Q UN Equity,12/2/91,11.4202,,,,,,,,,
2727195Q UN Equity,12/2/91,7.125,,,,,,,,,
1199Q US Equity,12/2/91,33.375,,,,,,,,,
297504Q UN Equity,12/2/91,17.875,,,,,,,,,
8214761Q UN Equity,12/2/91,17.2166,,,,,,,,,
INCLF UN Equity,12/2/91,30.625,,,,,,,,,
CNA UN Equity,12/2/91,29.2783,,,,,,,,,
PDG UN Equity,12/2/91,12.125,,,,,,,,,
NEU UN Equity,12/2/91,50.868,,,,,,,,,
NL UN Equity,12/2/91,5.3978,,,,,,,,,
UAWGQ UN Equity,12/2/91,10.5,,,,,,,,,
1166Q US Equity,12/2/91,18.5,,,,,,,,,
680884Q UN Equity,12/2/91,1.6083,,,,,,,,,
HST US Equity,12/2/91,2.3985,,,,,,,,,
544791Q UN Equity,12/2/91,14.8125,,,,,,,,,
2603Q US Equity,12/2/91,55.75,,,,,,,,,
1051665D UN Equity,12/2/91,24.4167,,,,,,,,,
KMRTQ UN Equity,12/2/91,20.125,,,,,,,,,
HM UN Equity,12/2/91,16,,,,,,,,,
BCO US Equity,12/2/91,5.6697,,,,,,,,,
RAL UN Equity,12/2/91,11.849,,,,,,,,,
329556Q UN Equity,12/2/91,12.1935,,,,,,,,,
WETT US Equity,12/2/91,23.5,,,,,,,,,
ENRNQ UN Equity,12/2/91,9.125,,,,,,,,,
PLL UA Equity,12/2/91,18.5,,,,,,,,,
677004Q UN Equity,12/2/91,29.8125,,,,,,,,,
BNSSA US Equity,12/2/91,712.5,,,,,,,,,
GWOW UN Equity,12/2/91,8.375,,,,,,,,,
950967Q UN Equity,12/2/91,10.125,,,,,,,,,
ARB US Equity,12/2/91,5.4109,,,,,,,,,
BAC1 US Equity,12/2/91,26.125,,,,,,,,,
OAT UN Equity,12/2/91,35.125,,,,,,,,,
0848680D US Equity,12/2/91,7.5522,,,,,,,,,
LDG UN Equity,12/2/91,18,,,,,,,,,
USG UN Equity,12/2/91,53.2287,,,,,,,,,
292356Z US Equity,12/2/91,24.875,,,,,,,,,
601964Q US Equity,12/2/91,29.125,,,,,,,,,
TRV US Equity,12/2/91,16.938,,,,,,,,,
BF/B UA Equity,#N/A N/A,,,,,,,,,,
1255177D UN Equity,12/2/91,7.5665,,,,,,,,,
VVI US Equity,12/2/91,7.9418,,,,,,,,,
CGP UN Equity,12/2/91,13.125,,,,,,,,,
MRO US Equity,12/2/91,7.9677,,,,,,,,,
253647Q UN Equity,12/2/91,10.5938,,,,,,,,,
3253Q UN Equity,12/2/91,38.75,,,,,,,,,
PRDCQ UN Equity,12/2/91,25.375,,,,,,,,,
8384662Q US Equity,12/2/91,1.6391,,,,,,,,,
RML UN Equity,#N/A N/A,,,,,,,,,,
923022Q US Equity,12/2/91,18.5185,,,,,,,,,
KATE US Equity,12/2/91,18.625,,,,,,,,,
BHMSQ UN Equity,12/2/91,11.125,,,,,,,,,
PNAA US Equity,#N/A N/A,,,,,,,,,,
291784Q UN Equity,12/2/91,28.875,,,,,,,,,
FJ UN Equity,12/2/91,18.2662,,,,,,,,,
ACKH UN Equity,12/2/91,25,,,,,,,,,
68335Q UN Equity,12/2/91,12.5833,,,,,,,,,
2269312Q UN Equity,12/2/91,27.5,,,,,,,,,
UCM UN Equity,12/2/91,41.75,,,,,,,,,
236555Q UN Equity,12/2/91,19.4254,,,,,,,,,
OWENQ UN Equity,12/2/91,17.625,,,,,,,,,
USW UN Equity,12/2/91,20.7611,,,,,,,,,
571300Q UN Equity,12/2/91,31.125,,,,,,,,,
IKN UN Equity,12/2/91,13.5727,,,,,,,,,
WLA UN Equity,12/2/91,11.6667,,,,,,,,,
140402Q UN Equity,12/2/91,23.375,,,,,,,,,
45200Q UN Equity,12/2/91,25.6875,,,,,,,,,
TMC UN Equity,12/2/91,19.4897,,,,,,,,,
RLM UN Equity,12/2/91,50.25,,,,,,,,,
667517Q UN Equity,12/2/91,15.75,,,,,,,,,
300583Q UN Equity,12/2/91,52.5,,,,,,,,,
CNRG UN Equity,12/2/91,42,,,,,,,,,
2755Q UN Equity,12/2/91,29.625,,,,,,,,,
3891289Q UN Equity,12/2/91,32.6875,,,,,,,,,
2770014Q UN Equity,12/2/91,12.75,,,,,,,,,
0820143D UN Equity,12/2/91,21.125,,,,,,,,,
93916Q UN Equity,12/2/91,17.375,,,,,,,,,
363096Q UN Equity,12/2/91,20.125,,,,,,,,,
183291Q UN Equity,12/2/91,14.375,,,,,,,,,
3054Q UN Equity,12/2/91,15.25,,,,,,,,,
BKB UN Equity,12/2/91,5.6875,,,,,,,,,
RYC UN Equity,12/2/91,16.3125,,,,,,,,,
3459Q UN Equity,12/2/91,17.75,,,,,,,,,
375573Q UN Equity,12/2/91,33.5,,,,,,,,,
2972Q UN Equity,12/2/91,19.5625,,,,,,,,,
2691Q UN Equity,12/2/91,7.375,,,,,,,,,
399463Q UN Equity,12/2/91,62.5,,,,,,,,,
MWI UN Equity,12/2/91,20.125,,,,,,,,,
896661Q UN Equity,12/2/91,46.5,,,,,,,,,
611647Q UN Equity,12/2/91,25.9375,,,,,,,,,
RBD UN Equity,12/2/91,31,,,,,,,,,
ORX UN Equity,12/2/91,25.75,,,,,,,,,
2500Q UN Equity,12/2/91,23.5625,,,,,,,,,
231079Q UN Equity,12/2/91,28.4813,,,,,,,,,
134618Q UN Equity,12/2/91,90.5,,,,,,,,,
AS UN Equity,12/2/91,4.625,,,,,,,,,
1567Q UN Equity,12/2/91,21.3235,,,,,,,,,
2251Q UN Equity,12/2/91,6,,,,,,,,,
2223Q UN Equity,12/2/91,57.125,,,,,,,,,
504369Q UN Equity,12/2/91,25,,,,,,,,,
2428Q UN Equity,12/2/91,27.3333,,,,,,,,,
45861Q UN Equity,12/2/91,14.75,,,,,,,,,
2196Q UN Equity,12/2/91,16.375,,,,,,,,,
0943554D UN Equity,12/2/91,16.7141,,,,,,,,,
3619382Q UN Equity,12/2/91,8.5652,,,,,,,,,
WMX UN Equity,12/2/91,37.75,,,,,,,,,
GFS/A UA Equity,12/2/91,22.875,,,,,,,,,
2282655Q UN Equity,12/2/91,10.75,,,,,,,,,
2218Q UN Equity,12/2/91,28.75,,,,,,,,,
3520842Q UN Equity,12/2/91,18.875,,,,,,,,,
RHDCQ UN Equity,12/2/91,8.1653,,,,,,,,,
DEC UN Equity,12/2/91,61.25,,,,,,,,,
PET UN Equity,12/2/91,24.25,,,,,,,,,
JH UN Equity,12/2/91,23.125,,,,,,,,,
2106Q UN Equity,12/2/91,26.625,,,,,,,,,
1558530D UN Equity,12/2/91,6.375,,,,,,,,,
2638Q UN Equity,12/2/91,14.6875,,,,,,,,,
PAS UN Equity,12/2/91,8.1692,,,,,,,,,
ECO UA Equity,12/2/91,7.75,,,,,,,,,
1802Q UN Equity,12/2/91,8,,,,,,,,,
DTE UN Equity,12/2/91,34.125,,,,,,,,,
FLMIQ UN Equity,12/2/91,34.375,,,,,,,,,
TXN UN Equity,12/2/91,1.7344,,,,,,,,,
2822069Q UN Equity,12/2/91,28.375,,,,,,,,,
LLX UN Equity,12/2/91,33.375,,,,,,,,,
SRR UN Equity,12/2/91,25.25,,,,,,,,,
TDM UN Equity,12/2/91,9.75,,,,,,,,,
1974Q UA Equity,12/2/91,12.5,,,,,,,,,
334702Q UN Equity,12/2/91,14.875,,,,,,,,,
0111145D UN Equity,12/2/91,22.375,,,,,,,,,
3147596Q UN Equity,12/2/91,11.6458,,,,,,,,,
210967Q UN Equity,12/2/91,37.875,,,,,,,,,
231330Q UN Equity,12/2/91,14.875,,,,,,,,,
ITT UN Equity,12/2/91,1.4922,,,,,,,,,
0203524D UN Equity,12/2/91,2.75,,,,,,,,,
316419Q UN Equity,12/2/91,16.25,,,,,,,,,
90457Q UN Equity,12/2/91,19.2222,,,,,,,,,
RSHCQ UN Equity,12/2/91,6.5313,,,,,,,,,
1680Q UN Equity,12/2/91,36.9375,,,,,,,,,
1581Q UN Equity,12/2/91,16.4167,,,,,,,,,
MEE UN Equity,12/2/91,9.361,,,,,,,,,
693365Q UN Equity,12/2/91,23.7484,,,,,,,,,
RYAN UQ Equity,12/2/91,6.5833,,,,,,,,,
AALEA UN Equity,12/2/91,19.75,,,,,,,,,
BLY UN Equity,12/2/91,4.0261,,,,,,,,,
1511Q UN Equity,12/2/91,33.25,,,,,,,,,
THY UN Equity,12/2/91,12.25,,,,,,,,,
MDP UN Equity,12/2/91,6.2188,,,,,,,,,
OM UN Equity,12/2/91,16.25,,,,,,,,,
HAS US Equity,12/2/91,10.5926,,,,,,,,,
1463Q UN Equity,12/2/91,26.2314,,,,,,,,,
1513Q UN Equity,12/2/91,25.5,,,,,,,,,
VAT UN Equity,12/2/91,16.5,,,,,,,,,
2784Q UN Equity,12/2/91,4.4317,,,,,,,,,
1327Q UN Equity,12/2/91,15.625,,,,,,,,,
0440296D UN Equity,12/2/91,27.875,,,,,,,,,
1356Q UN Equity,12/2/91,9.1875,,,,,,,,,
2987Q UN Equity,12/2/91,46.75,,,,,,,,,
FBO UN Equity,12/2/91,25.125,,,,,,,,,
1423Q UN Equity,12/2/91,38,,,,,,,,,
FFB UN Equity,12/2/91,28.625,,,,,,,,,
279776Q UN Equity,12/2/91,22.75,,,,,,,,,
1530Q UN Equity,12/2/91,16.5,,,,,,,,,
1455Q UN Equity,12/2/91,9.125,,,,,,,,,
ZRN UN Equity,12/2/91,34.25,,,,,,,,,
1297Q UN Equity,12/2/91,26.9,,,,,,,,,
UPJ UN Equity,12/2/91,40.5,,,,,,,,,
2576Q UN Equity,12/2/91,5.9362,,,,,,,,,
1456Q UN Equity,12/2/91,6.25,,,,,,,,,
CKL UN Equity,12/2/91,22.875,,,,,,,,,
CINL UN Equity,12/2/91,25.5,,,,,,,,,
2650Q UN Equity,12/2/91,37.5,,,,,,,,,
SKLNQ UN Equity,12/2/91,36.5,,,,,,,,,
LK UN Equity,12/2/91,43.875,,,,,,,,,
1377Q UN Equity,12/2/91,26.9375,,,,,,,,,
MAT UN Equity,12/2/91,10.4107,,,,,,,,,
MXS UN Equity,12/2/91,7.75,,,,,,,,,
NEC UN Equity,12/2/91,8.25,,,,,,,,,
RRD UN Equity,12/2/91,37.9088,,,,,,,,,
8375930Q UN Equity,12/2/91,23.25,,,,,,,,,
2245Q UN Equity,12/2/91,30.5,,,,,,,,,
1719Q UN Equity,12/2/91,17.5,,,,,,,,,
1856Q UN Equity,12/2/91,53.6544,,,,,,,,,
2254Q UN Equity,12/2/91,34.3125,,,,,,,,,
UALAQ UN Equity,12/2/91,31.7188,,,,,,,,,
1953Q UN Equity,12/2/91,39.875,,,,,,,,,
GQ UN Equity,12/2/91,17.75,,,,,,,,,
3691661Q UN Equity,12/2/91,43.9375,,,,,,,,,
2340361Q UN Equity,12/2/91,19,,,,,,,,,
1671Q UN Equity,12/2/91,39,,,,,,,,,
JWPI UN Equity,12/2/91,14.375,,,,,,,,,
1539547D UN Equity,12/2/91,11,,,,,,,,,
IK UN Equity,12/2/91,5.375,,,,,,,,,
WAN/B UA Equity,12/2/91,2.625,,,,,,,,,
AZA UA Equity,12/2/91,20.6076,,,,,,,,,
1503Q UN Equity,#N/A N/A,,,,,,,,,,
3123863Q UN Equity,#N/A N/A,,,,,,,,,,
ASH UN Equity,12/2/91,9.0639,,,,,,,,,
643319Q UN Equity,#N/A N/A,,,,,,,,,,
HPC US Equity,12/2/91,14.4167,,,,,,,,,
UH UN Equity,12/2/91,3.6554,,,,,,,,,
UIS UN Equity,12/2/91,51.25,,,,,,,,,
DDS UN Equity,12/2/91,43.0833,,,,,,,,,
ADP UN Equity,12/2/91,7.3875,,,,,,,,,
